,lat,long,cluster
0,60.03143761,30.32982593,3
1,59.96313143,30.30765496,0
2,59.96301417,30.30731265,0
3,60.03135115,30.32949527,3
4,60.0315292,30.329416,3
5,59.92428100000001,30.3875608,101
6,59.95988306,30.31115921,1
7,59.93467988,30.30848929,93
8,59.9348132,30.3085533,93
9,60.0314703,30.3294021,3
10,59.92560329999999,30.3217733,2
11,59.9288133,30.3881466,5
12,59.9286999,30.3878286,5
13,60.03133570000001,30.329517600000006,3
14,60.0315922,30.3302478,3
15,59.9442785,30.3590764,209
16,59.94514332,30.35607923,4
17,59.92912190000001,30.38865583,5
18,59.92865,30.38816641,5
19,60.03136616,30.32949259,3
20,59.9255562,30.3211337,2
21,59.9293011,30.3887749,5
22,59.9255015,30.3390492,109
23,59.9487169,30.3032982,158
24,59.9512316,30.3105366,6
25,60.0118466,30.4340483,7
26,59.79990266,30.27323585,109
27,59.79990266,30.27323585,109
28,59.9290351,30.3567147,109
29,60.0561136,30.427891100000004,8
30,60.0161818,30.409457300000003,109
31,60.027929500000006,30.6349186,177
32,59.927836600000006,30.3379833,109
33,59.800195,30.274495,109
34,59.9276973,30.3380717,109
35,59.927216,30.3392897,109
36,59.9276078,30.3382977,109
37,59.93286,30.3456956,9
38,59.9329072,30.345892300000006,9
39,59.9277426,30.3379478,109
40,60.0159297,30.4078023,109
41,59.9277292,30.3358845,109
42,59.79933873,30.27406214,109
43,59.92775712,30.33797633,109
44,59.92751617,30.33806238,109
45,59.91876836,30.28558798,14
46,59.91859989,30.28569069,14
47,59.92293396,30.33025685,10
48,59.92322420000001,30.330023800000006,10
49,59.9294846,30.3245608,11
50,59.9291533,30.3569533,109
51,59.9278966,30.3381516,109
52,59.93760989999999,30.3415916,12
53,59.92771329999999,30.3373816,109
54,59.9278933,30.337745,109
55,59.91925500000001,30.2846216,14
56,59.91886510000001,30.2862526,14
57,59.9316514,30.3234206,13
58,59.9314355,30.3228185,13
59,59.9188484,30.2862445,14
60,59.92696306,30.3556106,187
61,59.91897825,30.28419938,14
62,59.94362192,30.32664014,80
63,59.92767284,30.3379599,109
64,59.91879894,30.28549404,14
65,59.92764293,30.33816057,109
66,59.9276119,30.3380893,109
67,59.80028100000001,30.2743139,109
68,59.92891043,30.33549931,109
69,59.91400384,30.34182538,15
70,59.9138216,30.3418583,16
71,59.9279616,30.337645,109
72,59.92905262,30.35667753,109
73,59.92804105,30.33699051,109
74,59.92768883,30.33790811,109
75,59.80002597,30.27417152,109
76,59.9289816,30.356505,109
77,59.800015,30.27378,109
78,59.93842579999999,30.3482794,172
79,60.01567320000001,30.409926,109
80,60.0160933,30.40966,109
81,59.8423166,30.319145,17
82,60.01616046,30.40919418,109
83,59.84233031,30.31906726,17
84,60.0151127,30.3888993,18
85,60.0159297,30.4078023,109
86,60.01590255,30.40921086,109
87,60.00490118,30.2990589,19
88,60.0048067,30.2998336,19
89,60.0160688,30.409218300000006,109
90,59.79903,30.2735733,109
91,60.0161004,30.4092106,109
92,60.0136166,30.3959366,20
93,60.03538,30.4410833,21
94,60.01613565,30.40937682,109
95,60.03300038,30.36792621,22
96,60.03332199,30.36669181,22
97,60.01617182,30.40927137,109
98,60.0158748,30.4091959,109
99,60.0135404,30.3929457,110
100,60.0161833,30.4093666,109
101,59.97112660000001,30.258715,23
102,59.9389568,30.2836821,24
103,60.01614100000001,30.4092644,109
104,60.013205000000006,30.396836600000004,20
105,60.0163466,30.409705,109
106,60.016215,30.4093783,109
107,60.009115,30.4109849,25
108,60.0161083,30.4094183,109
109,60.0149783,30.3878066,18
110,60.01507829999999,30.3877466,18
111,60.0161716,30.4092983,109
112,60.01283220000001,30.3984878,110
113,60.0161132,30.409133500000006,109
114,60.01603660000001,30.409294899999995,109
115,59.93446160000001,30.332791600000004,26
116,60.0161387,30.409162800000004,109
117,60.03486949999999,30.328098600000004,35
118,60.03475699999999,30.327047600000004,35
